,close,close,close,atr_pct,adx,bb_width
,count,mean,std,mean,mean,mean
regime,,,,,,
HIGH_VOL,4609,60560.8916,7327.6553,0.3437,18.5485,1.2405
LOW_VOL,3285,60241.9185,9311.2856,0.0793,22.3968,0.3416
RANGE,9044,59804.0572,9083.8249,0.1157,15.2406,0.3833
TREND_DOWN,26149,59945.7441,8618.1085,0.221,41.1998,1.0847
TREND_UP,27198,59980.7476,8684.9628,0.2011,40.9141,1.0462
UNKNOWN,8706,60184.3784,8435.3307,0.1758,20.0494,0.688
