timestamp,open,high,low,close,volume
2024-02-26 00:00:00,51728.85,51735.0,51691.1,51691.1,52.94325
2024-02-26 00:05:00,51691.1,51705.69,51691.1,51692.19,39.42152
2024-02-26 00:10:00,51692.2,51692.2,51627.22,51643.38,80.89045
2024-02-26 00:15:00,51643.37,51766.27,51621.06,51720.81,96.21784
2024-02-26 00:20:00,51720.82,51763.05,51692.2,51715.6,103.0058
2024-02-26 00:25:00,51715.6,51747.6,51694.0,51705.11,64.57239
2024-02-26 00:30:00,51705.11,51769.4,51675.93,51769.4,85.90739
2024-02-26 00:35:00,51769.39,51796.5,51735.8,51752.76,109.54127
2024-02-26 00:40:00,51752.76,51756.01,51713.12,51713.13,74.21083
2024-02-26 00:45:00,51713.14,51713.14,51681.1,51705.38,56.27997
2024-02-26 00:50:00,51705.39,51730.49,51700.91,51704.4,62.10427
2024-02-26 00:55:00,51704.4,51704.41,51671.23,51678.9,39.8314
2024-02-26 01:00:00,51678.9,51698.33,51671.23,51688.66,61.62734
2024-02-26 01:05:00,51688.65,51695.91,51665.59,51665.6,28.53527
2024-02-26 01:10:00,51665.59,51665.6,51546.6,51546.6,82.14321
2024-02-26 01:15:00,51546.6,51576.79,51536.38,51571.0,75.2461
2024-02-26 01:20:00,51571.0,51602.63,51531.1,51537.39,96.49485
2024-02-26 01:25:00,51537.39,51547.01,51528.57,51535.3,55.47338
2024-02-26 01:30:00,51535.3,51551.95,51501.83,51525.98,68.75436
2024-02-26 01:35:00,51525.99,51525.99,51500.0,51515.99,49.53017
2024-02-26 01:40:00,51515.99,51549.02,51507.6,51549.02,52.62852
2024-02-26 01:45:00,51549.02,51549.02,51511.77,51511.78,29.63069
2024-02-26 01:50:00,51511.78,51512.0,51501.7,51506.47,20.60256
2024-02-26 01:55:00,51506.48,51509.79,51473.17,51473.17,49.68411
2024-02-26 02:00:00,51473.17,51495.99,51473.17,51495.99,45.92037
2024-02-26 02:05:00,51495.98,51499.99,51473.53,51486.03,64.12814
2024-02-26 02:10:00,51486.03,51536.58,51450.0,51536.57,96.72404
2024-02-26 02:15:00,51536.58,51546.0,51490.86,51490.86,37.35157
2024-02-26 02:20:00,51490.87,51490.87,51468.0,51469.54,26.38323
2024-02-26 02:25:00,51469.53,51469.54,51428.0,51436.43,51.42908
2024-02-26 02:30:00,51436.42,51483.0,51436.42,51458.76,52.33186
2024-02-26 02:35:00,51458.77,51468.24,51443.0,51453.24,54.13985
2024-02-26 02:40:00,51453.25,51516.24,51453.24,51510.78,41.16154
2024-02-26 02:45:00,51510.78,51515.38,51471.64,51487.28,40.95029
2024-02-26 02:50:00,51487.28,51487.3,51443.0,51450.61,46.42486
2024-02-26 02:55:00,51450.62,51450.62,51432.92,51432.92,81.06469
2024-02-26 03:00:00,51432.92,51476.4,51432.92,51444.3,93.01571
2024-02-26 03:05:00,51444.29,51444.3,51400.0,51429.22,77.50982
2024-02-26 03:10:00,51429.21,51454.97,51427.9,51445.01,44.24002
2024-02-26 03:15:00,51445.01,51526.8,51445.0,51512.78,73.04575
2024-02-26 03:20:00,51512.77,51512.78,51478.0,51482.03,28.75307
2024-02-26 03:25:00,51482.03,51522.67,51482.02,51517.24,57.74405
2024-02-26 03:30:00,51517.24,51525.45,51505.22,51525.44,39.03376
2024-02-26 03:35:00,51525.45,51525.45,51484.32,51484.33,36.52908
2024-02-26 03:40:00,51484.32,51497.4,51484.32,51497.39,23.50827
2024-02-26 03:45:00,51497.4,51497.4,51484.32,51493.25,39.56263
2024-02-26 03:50:00,51493.26,51493.26,51493.25,51493.26,17.78894
2024-02-26 03:55:00,51493.25,51564.0,51493.25,51555.59,145.54924
2024-02-26 04:00:00,51555.6,51558.0,51526.29,51526.29,33.28286
2024-02-26 04:05:00,51526.29,51588.88,51522.97,51522.98,117.77985
2024-02-26 04:10:00,51522.97,51522.98,51516.99,51516.99,40.13899
2024-02-26 04:15:00,51516.99,51517.0,51507.26,51507.27,20.79795
2024-02-26 04:20:00,51507.26,51507.27,51484.32,51484.33,45.52371
2024-02-26 04:25:00,51484.32,51484.33,51473.42,51477.2,23.3308
2024-02-26 04:30:00,51477.19,51491.17,51477.19,51491.1,60.84655
2024-02-26 04:35:00,51491.11,51518.8,51478.89,51510.21,65.38472
2024-02-26 04:40:00,51510.21,51515.99,51501.71,51513.71,42.66682
2024-02-26 04:45:00,51513.72,51533.12,51504.29,51504.29,58.18732
2024-02-26 04:50:00,51504.29,51535.43,51504.29,51526.8,55.63207
2024-02-26 04:55:00,51526.8,51534.25,51498.08,51534.24,72.33273
2024-02-26 05:00:00,51534.23,51563.09,51534.23,51542.82,60.87741
2024-02-26 05:05:00,51542.81,51557.33,51541.1,51541.85,49.28257
2024-02-26 05:10:00,51541.85,51548.3,51526.72,51529.24,48.31103
2024-02-26 05:15:00,51529.24,51529.24,51492.0,51510.06,42.23542
2024-02-26 05:20:00,51510.05,51510.06,51484.96,51484.96,33.26193
2024-02-26 05:25:00,51484.96,51484.97,51435.19,51445.36,71.87364
2024-02-26 05:30:00,51445.36,51521.04,51431.1,51521.03,81.40619
2024-02-26 05:35:00,51521.04,51549.63,51515.36,51543.7,98.45152
2024-02-26 05:40:00,51543.7,51574.78,51537.37,51570.56,103.21003
2024-02-26 05:45:00,51570.56,51598.06,51570.55,51591.4,70.04032
2024-02-26 05:50:00,51591.4,51591.4,51568.39,51568.4,24.64125
2024-02-26 05:55:00,51568.39,51570.0,51560.0,51569.0,29.93271
2024-02-26 06:00:00,51569.0,51588.6,51568.99,51588.6,40.66086
2024-02-26 06:05:00,51588.59,51598.06,51562.33,51562.33,51.84614
2024-02-26 06:10:00,51562.33,51570.48,51541.1,51541.1,36.30047
2024-02-26 06:15:00,51541.1,51541.11,51517.16,51517.17,21.29871
2024-02-26 06:20:00,51517.17,51517.17,51504.41,51509.42,49.96133
2024-02-26 06:25:00,51509.42,51509.43,51484.21,51499.14,65.56861
2024-02-26 06:30:00,51499.13,51509.47,51497.57,51497.57,42.08831
2024-02-26 06:35:00,51497.58,51497.58,51494.12,51494.13,29.12173
2024-02-26 06:40:00,51494.12,51494.13,51494.11,51494.12,23.89038
2024-02-26 06:45:00,51494.11,51527.19,51494.11,51527.19,80.16631
2024-02-26 06:50:00,51527.19,51527.19,51500.18,51500.19,43.71034
2024-02-26 06:55:00,51500.18,51522.02,51500.18,51521.09,56.37607
2024-02-26 07:00:00,51521.08,51521.09,51469.92,51474.69,63.91956
2024-02-26 07:05:00,51474.69,51474.69,51451.15,51451.16,67.56871
2024-02-26 07:10:00,51451.15,51451.16,51425.79,51431.39,62.97687
2024-02-26 07:15:00,51431.39,51448.0,51411.48,51441.17,78.03858
2024-02-26 07:20:00,51441.16,51459.0,51434.62,51442.78,61.80269
2024-02-26 07:25:00,51442.78,51442.79,51422.2,51426.45,53.48824
2024-02-26 07:30:00,51426.46,51426.46,51388.02,51395.37,117.53167
2024-02-26 07:35:00,51395.38,51395.38,51345.28,51345.28,58.07507
2024-02-26 07:40:00,51345.29,51358.74,51323.65,51335.26,114.41716
2024-02-26 07:45:00,51335.26,51373.89,51335.25,51368.02,126.32541
2024-02-26 07:50:00,51368.03,51368.03,51321.0,51321.01,74.05578
2024-02-26 07:55:00,51321.01,51321.01,51288.18,51293.26,196.99355
2024-02-26 08:00:00,51293.26,51324.6,51293.26,51324.58,97.38284
2024-02-26 08:05:00,51324.58,51347.6,51306.0,51306.0,61.44087
2024-02-26 08:10:00,51306.01,51306.36,51290.0,51290.95,65.57325
2024-02-26 08:15:00,51290.95,51332.43,51259.41,51304.4,134.03395
2024-02-26 08:20:00,51304.41,51339.93,51302.2,51339.93,72.0413
2024-02-26 08:25:00,51339.93,51374.66,51321.1,51374.66,128.20742
2024-02-26 08:30:00,51374.66,51374.66,51331.1,51351.1,73.07963
2024-02-26 08:35:00,51351.1,51351.1,51320.0,51320.01,43.56651
2024-02-26 08:40:00,51320.0,51320.01,51280.34,51280.34,75.70004
2024-02-26 08:45:00,51280.35,51319.79,51266.07,51278.29,102.82696
2024-02-26 08:50:00,51278.28,51280.04,51254.39,51280.04,87.36957
2024-02-26 08:55:00,51280.04,51288.38,51250.15,51250.16,63.97051
2024-02-26 09:00:00,51250.16,51290.97,51250.0,51279.41,83.45435
2024-02-26 09:05:00,51279.4,51279.41,51252.86,51270.75,57.93772
2024-02-26 09:10:00,51270.74,51304.23,51200.0,51304.22,134.69691
2024-02-26 09:15:00,51304.22,51304.23,51132.3,51139.99,212.40572
2024-02-26 09:20:00,51140.0,51173.64,51046.91,51170.0,359.87695
2024-02-26 09:25:00,51170.0,51177.76,51054.0,51054.01,143.99495
2024-02-26 09:30:00,51054.0,51086.0,51000.0,51007.39,222.95624
2024-02-26 09:35:00,51007.4,51043.99,50956.0,50961.1,332.78038
2024-02-26 09:40:00,50961.1,51029.73,50950.0,50958.17,202.37875
2024-02-26 09:45:00,50958.17,51029.22,50950.21,51004.03,139.58107
2024-02-26 09:50:00,51004.02,51012.38,50924.55,50936.07,173.20699
2024-02-26 09:55:00,50936.06,50970.78,50901.44,50949.99,153.11329
2024-02-26 10:00:00,50950.0,51029.11,50939.6,51028.99,136.01401
2024-02-26 10:05:00,51028.99,51047.83,51011.0,51011.0,67.81864
2024-02-26 10:10:00,51011.01,51146.63,51011.0,51134.0,131.95496
2024-02-26 10:15:00,51134.0,51175.97,51108.0,51138.22,71.18691
2024-02-26 10:20:00,51138.22,51228.48,51138.22,51228.48,142.11007
2024-02-26 10:25:00,51228.47,51230.69,51162.51,51209.46,99.97346
2024-02-26 10:30:00,51209.46,51223.6,51177.25,51178.01,78.12621
2024-02-26 10:35:00,51178.01,51241.08,51161.1,51241.07,93.0481
2024-02-26 10:40:00,51241.08,51241.12,51184.0,51185.86,72.80138
2024-02-26 10:45:00,51185.86,51241.47,51181.83,51232.4,141.80437
2024-02-26 10:50:00,51232.39,51240.08,51179.99,51240.08,95.69753
2024-02-26 10:55:00,51240.07,51246.0,51151.8,51170.58,93.18556
2024-02-26 11:00:00,51170.58,51188.0,51113.09,51113.1,93.9545
2024-02-26 11:05:00,51113.09,51113.1,51044.0,51091.96,158.06723
2024-02-26 11:10:00,51091.97,51158.01,51075.01,51158.0,96.00655
2024-02-26 11:15:00,51158.0,51165.2,51111.44,51136.86,77.7426
2024-02-26 11:20:00,51136.86,51217.66,51136.86,51192.02,104.58602
2024-02-26 11:25:00,51192.01,51192.02,51171.1,51186.01,70.40044
2024-02-26 11:30:00,51186.0,51186.01,51114.0,51114.0,54.95808
2024-02-26 11:35:00,51114.0,51124.33,51084.6,51086.47,81.80306
2024-02-26 11:40:00,51086.47,51127.33,51066.25,51101.99,73.69342
2024-02-26 11:45:00,51101.98,51112.8,51081.72,51082.54,61.66904
2024-02-26 11:50:00,51082.54,51092.13,51066.91,51088.97,65.05312
2024-02-26 11:55:00,51088.97,51116.6,51088.96,51090.01,45.66856
2024-02-26 12:00:00,51090.01,51130.75,51067.62,51067.62,77.2373
2024-02-26 12:05:00,51067.62,51075.81,51044.7,51050.47,100.83209
2024-02-26 12:10:00,51050.48,51050.48,51016.57,51041.09,70.35145
2024-02-26 12:15:00,51041.09,51076.0,50980.0,51002.87,171.50533
2024-02-26 12:20:00,51002.86,51033.7,50957.0,51033.7,125.58872
2024-02-26 12:25:00,51033.69,51134.5,51030.81,51119.14,134.94831
2024-02-26 12:30:00,51119.15,51167.69,51111.05,51157.06,96.92943
2024-02-26 12:35:00,51157.05,51160.45,51145.4,51145.51,78.438
2024-02-26 12:40:00,51145.52,51176.0,51126.52,51175.99,66.86789
2024-02-26 12:45:00,51176.0,51209.77,51164.52,51197.01,96.20418
2024-02-26 12:50:00,51197.01,51221.26,51171.11,51199.99,67.31644
2024-02-26 12:55:00,51200.0,51233.83,51199.99,51233.82,31.93324
2024-02-26 13:00:00,51233.82,51270.0,51218.89,51234.12,115.64669
2024-02-26 13:05:00,51234.12,51269.92,51203.95,51269.92,64.96651
2024-02-26 13:10:00,51269.92,51387.42,51255.34,51379.99,253.64893
2024-02-26 13:15:00,51380.0,51381.1,51316.83,51334.2,117.96618
2024-02-26 13:20:00,51334.19,51385.4,51306.66,51373.07,76.55167
2024-02-26 13:25:00,51373.07,51437.29,51373.06,51411.1,113.4996
2024-02-26 13:30:00,51411.09,51415.0,51377.99,51412.47,115.31864
2024-02-26 13:35:00,51412.47,51412.48,51349.13,51349.13,92.76937
2024-02-26 13:40:00,51349.13,51358.48,51281.0,51298.61,100.35711
2024-02-26 13:45:00,51298.62,51310.49,51240.01,51246.2,105.11361
2024-02-26 13:50:00,51246.19,51288.33,51221.26,51254.59,93.13367
2024-02-26 13:55:00,51254.59,51271.1,51228.49,51228.5,58.27206
2024-02-26 14:00:00,51228.49,51286.29,51207.4,51266.43,120.8006
2024-02-26 14:05:00,51266.43,51305.99,51266.42,51305.99,75.26095
2024-02-26 14:10:00,51305.99,51309.68,51297.4,51297.41,29.06981
2024-02-26 14:15:00,51297.41,51380.0,51290.0,51350.21,85.87201
2024-02-26 14:20:00,51350.21,51374.66,51320.0,51351.99,94.38415
2024-02-26 14:25:00,51352.0,51370.0,51341.76,51362.0,79.83545
2024-02-26 14:30:00,51362.0,51497.39,51362.0,51470.15,183.26796
2024-02-26 14:35:00,51470.15,51493.99,51459.34,51484.21,96.42212
2024-02-26 14:40:00,51484.2,51552.14,51440.0,51526.02,179.38968
2024-02-26 14:45:00,51526.01,51700.0,51526.01,51670.0,415.22841
2024-02-26 14:50:00,51670.0,51693.85,51612.6,51673.73,178.34346
2024-02-26 14:55:00,51673.73,51718.6,51660.83,51687.02,174.72052
2024-02-26 15:00:00,51687.03,51745.0,51642.08,51742.56,255.68093
2024-02-26 15:05:00,51742.56,51895.0,51742.55,51894.99,377.32194
2024-02-26 15:10:00,51895.0,51999.0,51884.01,51925.89,597.63867
2024-02-26 15:15:00,51925.89,52233.72,51925.89,52180.19,971.56201
2024-02-26 15:20:00,52180.18,52340.0,52129.95,52214.99,630.8464
