Metric,Value
Strategy,scalping
Symbol,BTCUSDT
Timeframe,3m
Trades Closed,77
Winrate (%),24.68
Profit Factor,0.18
Max Drawdown (%),-20.45
Loss > 8%,0
TP Hit (%),0.0
Sharpe Ratio,-0.82
