Metric,Value
Strategy,scalping
Symbol,BTCUSDT
Timeframe,1m
Trades Closed,18
Winrate (%),27.78
Profit Factor,0.14
Max Drawdown (%),-1.72
Loss > 8%,0
TP Hit (%),0.0
Sharpe Ratio,-0.94
