time,open,high,low,close,volume
2020-04-30 15:00:00,8825.27,8852.94,8735.0,8776.95,4518.339639
2020-04-30 16:00:00,8776.94,8793.0,8627.68,8689.3,7380.045253
2020-04-30 17:00:00,8689.3,8709.89,8401.0,8552.22,15334.97127
2020-04-30 18:00:00,8550.17,8728.0,8544.31,8669.94,9467.675227
2020-04-30 19:00:00,8668.85,8859.11,8660.04,8836.01,7134.049325
2020-04-30 20:00:00,8836.01,8882.78,8655.71,8818.36,5755.182119
2020-04-30 21:00:00,8819.15,8849.8,8734.5,8761.92,3089.560545
2020-04-30 22:00:00,8761.91,8770.0,8623.0,8759.77,3612.713992
2020-04-30 23:00:00,8759.82,8780.0,8573.98,8620.0,4202.152592
2020-05-01 00:00:00,8620.0,8739.01,8613.56,8707.51,3459.688665
2020-05-01 01:00:00,8707.5,8762.04,8657.85,8662.61,2271.604614
2020-05-01 02:00:00,8663.07,8730.0,8644.32,8726.36,1827.66902
2020-05-01 03:00:00,8725.5,8738.0,8665.26,8675.35,2038.996305
2020-05-01 04:00:00,8675.1,8799.71,8674.01,8791.59,2605.779227
2020-05-01 05:00:00,8791.59,8835.7,8755.36,8815.42,3055.180484
2020-05-01 06:00:00,8815.27,8815.27,8745.93,8756.9,2006.716736
2020-05-01 07:00:00,8757.0,8780.0,8703.03,8767.18,3489.039867
2020-05-01 08:00:00,8767.18,8798.91,8745.01,8794.02,1928.327736
2020-05-01 09:00:00,8794.37,8860.0,8770.0,8845.52,3538.495934
2020-05-01 10:00:00,8845.71,8900.0,8815.82,8900.0,4227.332533
2020-05-01 11:00:00,8899.99,9059.18,8868.0,8995.66,9752.369982
2020-05-01 12:00:00,8995.73,9022.0,8815.0,8878.53,10373.211879
2020-05-01 13:00:00,8878.52,8925.0,8772.05,8792.2,6269.846746
2020-05-01 14:00:00,8792.2,8840.31,8716.28,8823.17,5851.254951
2020-05-01 15:00:00,8822.05,8858.68,8725.0,8726.84,4582.774665
2020-05-01 16:00:00,8726.88,8765.13,8655.31,8735.83,6069.70335
2020-05-01 17:00:00,8735.82,8768.85,8687.01,8762.74,3389.486544
2020-05-01 18:00:00,8763.42,8780.0,8721.0,8733.45,2169.861147
2020-05-01 19:00:00,8733.45,8772.71,8702.0,8727.82,2242.966681
2020-05-01 20:00:00,8727.97,8748.69,8663.28,8729.04,2407.468165
2020-05-01 21:00:00,8729.89,8849.99,8729.22,8844.67,2781.249823
2020-05-01 22:00:00,8844.66,8870.0,8796.23,8837.15,2492.519691
2020-05-01 23:00:00,8837.15,8893.43,8800.52,8826.96,2637.270314
2020-05-02 00:00:00,8825.67,8843.64,8762.0,8827.99,2148.8302
2020-05-02 01:00:00,8827.98,8829.0,8771.03,8792.17,1467.737482
2020-05-02 02:00:00,8791.64,8838.54,8753.0,8812.35,1561.928469
2020-05-02 03:00:00,8812.36,8856.4,8792.95,8834.08,1696.098471
2020-05-02 04:00:00,8834.29,8856.76,8792.0,8818.51,1685.407845
2020-05-02 05:00:00,8818.82,8832.18,8782.62,8816.42,1159.562425
2020-05-02 06:00:00,8816.83,8846.0,8806.83,8822.85,1840.988757
2020-05-02 07:00:00,8822.21,8830.0,8783.49,8799.01,1810.694492
2020-05-02 08:00:00,8799.0,8819.14,8768.0,8773.42,2269.557101
2020-05-02 09:00:00,8773.42,8822.95,8772.02,8811.9,1366.680384
2020-05-02 10:00:00,8811.69,8846.62,8806.36,8828.23,3235.780973
2020-05-02 11:00:00,8828.22,8887.0,8828.22,8834.0,2788.444791
2020-05-02 12:00:00,8834.84,8940.0,8834.84,8859.35,4530.974243
2020-05-02 13:00:00,8859.8,8909.74,8850.86,8899.73,2068.587307
2020-05-02 14:00:00,8897.93,8950.0,8885.97,8919.51,3523.586591
2020-05-02 15:00:00,8919.19,8967.62,8894.0,8936.41,3733.741305
2020-05-02 16:00:00,8936.41,9010.0,8918.07,8980.63,4661.291488
2020-05-02 17:00:00,8980.93,8999.98,8948.0,8971.98,2331.020119
2020-05-02 18:00:00,8971.98,8972.0,8811.0,8866.72,5971.264145
2020-05-02 19:00:00,8867.08,8880.0,8820.0,8878.11,1839.814709
2020-05-02 20:00:00,8878.0,8930.93,8860.0,8930.53,1694.233704
2020-05-02 21:00:00,8930.53,8939.0,8883.15,8924.93,1575.516359
2020-05-02 22:00:00,8924.94,8939.99,8892.89,8933.54,1415.246473
2020-05-02 23:00:00,8934.39,8985.0,8921.42,8972.05,2625.099717
2020-05-03 00:00:00,8972.58,9150.0,8937.0,9124.35,6939.420514
2020-05-03 01:00:00,9124.42,9200.0,9055.0,9115.52,7267.835522
