period,interval,wfa_idx,train_file,train_candles,train_start,train_end,oos_file,oos_candles,oos_start,oos_end
2024,1h,3,BTCUSDT_1h_2024_WFA03_TRAIN.csv,2160,2022-09-27,2022-12-26,BTCUSDT_1h_2024_WFA03_OOS.csv,1080,2022-12-26,2023-02-09
2024,1h,4,BTCUSDT_1h_2024_WFA04_TRAIN.csv,2160,2023-02-09,2023-05-10,BTCUSDT_1h_2024_WFA04_OOS.csv,1080,2023-05-10,2023-06-24
2024,1h,5,BTCUSDT_1h_2024_WFA05_TRAIN.csv,2160,2023-06-24,2023-09-22,BTCUSDT_1h_2024_WFA05_OOS.csv,1080,2023-09-22,2023-11-06
2024,1h,6,BTCUSDT_1h_2024_WFA06_TRAIN.csv,2160,2023-11-06,2024-02-04,BTCUSDT_1h_2024_WFA06_OOS.csv,1080,2024-02-04,2024-03-20
2024,1h,7,BTCUSDT_1h_2024_WFA07_TRAIN.csv,2160,2024-03-20,2024-06-18,BTCUSDT_1h_2024_WFA07_OOS.csv,1080,2024-06-18,2024-08-02
2024,1h,8,BTCUSDT_1h_2024_WFA08_TRAIN.csv,2160,2024-08-02,2024-10-31,BTCUSDT_1h_2024_WFA08_OOS.csv,1080,2024-10-31,2024-12-15
2018,4h,1,BTCUSDT_4h_2018_WFA01_TRAIN.csv,1080,2017-12-31,2018-07-01,BTCUSDT_4h_2018_WFA01_OOS.csv,540,2018-07-01,2018-09-29
bull,4h,1,BTCUSDT_4h_bull_WFA01_TRAIN.csv,1080,2020-04-30,2020-10-27,BTCUSDT_4h_bull_WFA01_OOS.csv,540,2020-10-27,2021-01-25
2022,4h,1,BTCUSDT_4h_2022_WFA01_TRAIN.csv,1080,2022-03-31,2022-09-27,BTCUSDT_4h_2022_WFA01_OOS.csv,540,2022-09-27,2022-12-26
2019,4h,1,BTCUSDT_4h_2019_WFA01_TRAIN.csv,1080,2017-12-31,2018-07-01,BTCUSDT_4h_2019_WFA01_OOS.csv,540,2018-07-01,2018-09-29
2019,4h,2,BTCUSDT_4h_2019_WFA02_TRAIN.csv,1080,2018-09-29,2019-03-28,BTCUSDT_4h_2019_WFA02_OOS.csv,540,2019-03-28,2019-06-26
2021,4h,1,BTCUSDT_4h_2021_WFA01_TRAIN.csv,1080,2019-12-31,2020-06-28,BTCUSDT_4h_2021_WFA01_OOS.csv,540,2020-06-28,2020-09-26
2021,4h,2,BTCUSDT_4h_2021_WFA02_TRAIN.csv,1080,2020-09-26,2021-03-25,BTCUSDT_4h_2021_WFA02_OOS.csv,540,2021-03-25,2021-06-23
2024,4h,1,BTCUSDT_4h_2024_WFA01_TRAIN.csv,1080,2021-12-31,2022-06-29,BTCUSDT_4h_2024_WFA01_OOS.csv,540,2022-06-29,2022-09-27
2024,4h,2,BTCUSDT_4h_2024_WFA02_TRAIN.csv,1080,2022-09-27,2023-03-26,BTCUSDT_4h_2024_WFA02_OOS.csv,540,2023-03-26,2023-06-24
2024,4h,3,BTCUSDT_4h_2024_WFA03_TRAIN.csv,1080,2023-06-24,2023-12-21,BTCUSDT_4h_2024_WFA03_OOS.csv,540,2023-12-21,2024-03-20
2024,4h,4,BTCUSDT_4h_2024_WFA04_TRAIN.csv,1080,2024-03-20,2024-09-16,BTCUSDT_4h_2024_WFA04_OOS.csv,540,2024-09-16,2024-12-15
