time,open,high,low,close,volume
2020-05-15 00:00:00,9791.97,9845.62,9710.13,9770.29,3485.159748
2020-05-15 01:00:00,9769.57,9775.52,9720.09,9738.79,1782.479616
2020-05-15 02:00:00,9738.78,9748.51,9256.12,9490.21,15433.526617
2020-05-15 03:00:00,9490.1,9563.02,9432.0,9472.97,5798.151898
2020-05-15 04:00:00,9472.97,9510.0,9436.02,9444.21,3158.238018
2020-05-15 05:00:00,9445.7,9525.01,9370.38,9505.34,4852.168505
2020-05-15 06:00:00,9505.34,9554.0,9496.93,9548.0,2874.0743
2020-05-15 07:00:00,9548.0,9729.81,9538.02,9674.33,6150.034619
2020-05-15 08:00:00,9673.45,9710.0,9604.38,9616.0,3935.382308
2020-05-15 09:00:00,9616.0,9656.25,9544.0,9610.52,3869.316745
2020-05-15 10:00:00,9610.09,9627.37,9480.0,9587.14,4521.189274
2020-05-15 11:00:00,9587.7,9655.0,9550.21,9592.38,3150.807893
2020-05-15 12:00:00,9593.53,9593.53,9510.0,9520.13,3887.621981
2020-05-15 13:00:00,9521.49,9579.12,9490.0,9545.99,3446.665378
2020-05-15 14:00:00,9545.54,9616.65,9545.49,9568.02,3146.371957
2020-05-15 15:00:00,9568.17,9570.81,9413.93,9475.53,7235.425731
2020-05-15 16:00:00,9476.33,9517.01,9446.94,9470.72,3614.552447
2020-05-15 17:00:00,9471.18,9506.31,9442.0,9478.08,2914.458818
2020-05-15 18:00:00,9478.01,9534.78,9475.02,9490.18,2136.355868
2020-05-15 19:00:00,9490.35,9511.1,9331.66,9337.83,6396.043831
2020-05-15 20:00:00,9337.86,9409.26,9150.0,9250.25,12123.534403
2020-05-15 21:00:00,9250.29,9455.18,9211.1,9419.98,5204.027453
2020-05-15 22:00:00,9419.98,9487.58,9340.43,9365.82,3294.572631
2020-05-15 23:00:00,9366.23,9395.83,9228.99,9316.42,3480.601477
2020-05-16 00:00:00,9315.96,9399.97,9220.0,9396.01,4432.006333
2020-05-16 01:00:00,9396.01,9444.88,9361.72,9410.71,2558.982975
2020-05-16 02:00:00,9410.71,9458.16,9382.41,9432.29,2052.118853
2020-05-16 03:00:00,9432.3,9448.32,9390.3,9405.68,1674.418312
2020-05-16 04:00:00,9405.68,9499.97,9396.82,9495.42,2641.124564
2020-05-16 05:00:00,9495.67,9588.0,9445.14,9459.32,4632.85452
2020-05-16 06:00:00,9459.32,9483.68,9412.53,9470.08,1777.810463
2020-05-16 07:00:00,9470.08,9510.0,9367.13,9390.02,2487.015969
2020-05-16 08:00:00,9390.03,9438.73,9351.25,9423.39,2614.534179
2020-05-16 09:00:00,9423.3,9434.94,9315.0,9415.71,2227.710906
2020-05-16 10:00:00,9416.18,9458.0,9370.0,9455.0,2151.784963
2020-05-16 11:00:00,9455.0,9458.0,9382.86,9414.53,1620.942472
2020-05-16 12:00:00,9414.54,9500.0,9404.0,9471.45,2985.481687
2020-05-16 13:00:00,9471.44,9534.85,9425.0,9452.42,4037.5381
2020-05-16 14:00:00,9452.42,9493.39,9400.0,9432.31,2196.376002
2020-05-16 15:00:00,9432.31,9440.0,9330.0,9380.75,2928.631984
2020-05-16 16:00:00,9380.42,9419.0,9320.0,9385.72,3246.346805
2020-05-16 17:00:00,9385.26,9408.66,9291.0,9322.26,2555.091843
2020-05-16 18:00:00,9321.8,9347.25,9262.0,9286.87,3095.849664
2020-05-16 19:00:00,9286.96,9353.32,9268.0,9329.78,1723.272098
2020-05-16 20:00:00,9329.78,9392.78,9294.17,9383.0,1733.261816
2020-05-16 21:00:00,9382.72,9425.96,9354.0,9381.88,1423.851726
2020-05-16 22:00:00,9381.88,9442.98,9360.56,9421.67,1634.912171
2020-05-16 23:00:00,9421.69,9436.63,9363.39,9381.27,1155.709457
2020-05-17 00:00:00,9380.81,9507.0,9322.1,9480.0,3808.477587
2020-05-17 01:00:00,9480.0,9521.53,9432.04,9471.78,2613.588199
2020-05-17 02:00:00,9471.67,9555.1,9470.0,9512.99,2135.39319
2020-05-17 03:00:00,9512.53,9579.16,9493.13,9545.58,2235.132329
2020-05-17 04:00:00,9544.49,9573.63,9506.92,9508.11,1506.928917
2020-05-17 05:00:00,9508.1,9532.94,9475.0,9495.0,1390.994686
2020-05-17 06:00:00,9495.0,9555.0,9495.0,9548.45,1363.664333
2020-05-17 07:00:00,9549.28,9567.85,9506.2,9540.99,1788.926569
2020-05-17 08:00:00,9540.98,9554.73,9480.04,9491.0,1788.376717
2020-05-17 09:00:00,9491.01,9514.95,9436.0,9491.73,1678.189413
2020-05-17 10:00:00,9491.01,9538.36,9491.0,9531.1,1310.417231
2020-05-17 11:00:00,9531.0,9535.49,9493.01,9522.08,1522.647061
2020-05-17 12:00:00,9522.5,9774.95,9521.45,9767.5,9693.023906
2020-05-17 13:00:00,9768.75,9787.0,9682.01,9744.99,4461.651213
2020-05-17 14:00:00,9745.0,9822.0,9723.0,9809.91,4264.48336
2020-05-17 15:00:00,9811.18,9888.0,9764.07,9822.32,7330.024598
2020-05-17 16:00:00,9822.64,9840.0,9685.0,9739.0,4411.478842
2020-05-17 17:00:00,9739.0,9770.98,9713.71,9759.99,1650.455474
2020-05-17 18:00:00,9760.0,9763.99,9705.0,9749.98,1645.465472
2020-05-17 19:00:00,9749.98,9791.95,9727.86,9771.0,1690.758674
2020-05-17 20:00:00,9771.29,9772.35,9722.96,9740.14,1342.100063
2020-05-17 21:00:00,9741.62,9798.49,9738.25,9764.52,1315.053749
2020-05-17 22:00:00,9764.62,9765.58,9595.2,9689.31,5626.225154
2020-05-17 23:00:00,9689.31,9729.88,9657.91,9680.04,2074.307586
2020-05-18 00:00:00,9681.11,9788.46,9680.13,9778.38,3189.429561
2020-05-18 01:00:00,9778.34,9950.0,9757.54,9902.1,10934.121668
2020-05-18 02:00:00,9902.62,9926.0,9827.79,9870.05,3099.880633
