time,open,high,low,close,volume
2024-05-26 15:00:00,69287.11,69399.0,69220.15,69264.44,291.13735
2024-05-26 15:15:00,69264.45,69284.0,69156.0,69273.02,98.29233
2024-05-26 15:30:00,69273.01,69280.41,69111.89,69111.9,103.48656
2024-05-26 15:45:00,69111.9,69111.9,68668.6,68847.99,638.21542
2024-05-26 16:00:00,68847.98,68968.0,68841.07,68924.0,217.64959
2024-05-26 16:15:00,68924.0,68931.06,68692.11,68744.46,184.43326
2024-05-26 16:30:00,68744.47,68919.21,68744.46,68912.12,161.44911
2024-05-26 16:45:00,68912.12,68973.15,68787.06,68808.62,270.07024
2024-05-26 17:00:00,68808.61,68851.88,68780.0,68829.54,101.54783
2024-05-26 17:15:00,68829.55,68906.96,68812.01,68835.28,73.05447
2024-05-26 17:30:00,68835.28,68884.36,68817.48,68883.52,70.40228
2024-05-26 17:45:00,68883.51,68883.52,68731.36,68778.14,173.49721
2024-05-26 18:00:00,68778.14,68812.13,68734.08,68738.89,115.10657
2024-05-26 18:15:00,68738.9,68774.0,68717.61,68740.75,95.97797
2024-05-26 18:30:00,68740.74,68812.13,68724.16,68778.14,80.5769
2024-05-26 18:45:00,68778.14,68842.8,68778.14,68800.16,72.64424
2024-05-26 19:00:00,68800.15,68916.22,68800.15,68880.23,87.50691
2024-05-26 19:15:00,68880.23,68915.57,68843.16,68843.17,47.49215
2024-05-26 19:30:00,68843.16,68890.01,68836.08,68890.01,32.09545
2024-05-26 19:45:00,68890.0,68913.71,68852.79,68903.54,72.92089
2024-05-26 20:00:00,68903.53,68911.56,68858.55,68858.55,48.34753
2024-05-26 20:15:00,68858.55,68858.56,68770.17,68780.01,39.11945
2024-05-26 20:30:00,68780.01,68780.01,68720.66,68720.66,46.49925
2024-05-26 20:45:00,68720.66,68734.0,68720.66,68720.84,43.30253
2024-05-26 21:00:00,68720.85,68720.85,68555.0,68568.79,160.86806
2024-05-26 21:15:00,68568.79,68659.46,68568.79,68611.31,106.71398
2024-05-26 21:30:00,68611.31,68611.31,68128.01,68386.44,445.48656
2024-05-26 21:45:00,68386.44,68534.0,68298.01,68518.02,160.40181
2024-05-26 22:00:00,68518.02,68598.79,68464.0,68598.79,154.69725
2024-05-26 22:15:00,68598.78,68690.15,68580.01,68674.0,83.05079
2024-05-26 22:30:00,68674.0,68700.65,68635.87,68656.55,70.51228
2024-05-26 22:45:00,68656.55,68656.55,68560.0,68560.0,61.55212
2024-05-26 23:00:00,68560.01,68560.01,68500.0,68500.0,110.36074
2024-05-26 23:15:00,68500.01,68511.1,68361.96,68405.22,136.75982
2024-05-26 23:30:00,68405.22,68484.0,68344.0,68463.97,135.14872
2024-05-26 23:45:00,68463.97,68569.88,68463.96,68507.67,101.33013
2024-05-27 00:00:00,68507.67,68630.96,68481.31,68598.71,131.92908
2024-05-27 00:15:00,68598.71,68630.96,68550.64,68566.19,176.44345
2024-05-27 00:30:00,68566.2,68765.63,68558.07,68721.41,109.50436
2024-05-27 00:45:00,68721.41,68821.72,68721.41,68821.71,74.09606
2024-05-27 01:00:00,68821.72,68830.0,68740.9,68740.91,72.75699
2024-05-27 01:15:00,68740.9,68810.0,68740.75,68780.6,56.91552
2024-05-27 01:30:00,68780.6,69260.0,68775.07,69138.0,393.71567
2024-05-27 01:45:00,69138.0,69298.0,69054.0,69074.01,219.27798
2024-05-27 02:00:00,69074.02,69140.08,69020.49,69140.08,176.44647
2024-05-27 02:15:00,69140.08,69288.44,69132.62,69162.64,257.85155
2024-05-27 02:30:00,69162.64,69258.32,69089.4,69152.65,193.9884
2024-05-27 02:45:00,69152.66,69179.04,69085.1,69111.35,128.67869
2024-05-27 03:00:00,69111.34,69212.0,69059.19,69096.35,128.86145
2024-05-27 03:15:00,69096.35,69096.36,69017.0,69046.81,417.12404
2024-05-27 03:30:00,69046.8,69051.0,68909.96,68919.81,343.48672
2024-05-27 03:45:00,68919.8,68946.0,68826.91,68873.43,194.01089
2024-05-27 04:00:00,68873.43,68901.74,68804.0,68824.31,124.10467
2024-05-27 04:15:00,68824.31,68885.25,68794.98,68854.2,137.32319
2024-05-27 04:30:00,68854.2,68880.0,68807.35,68822.21,128.13968
2024-05-27 04:45:00,68822.21,68844.0,68764.71,68770.01,80.94116
2024-05-27 05:00:00,68770.0,68784.4,68724.57,68729.99,129.77364
2024-05-27 05:15:00,68730.0,68740.59,68366.66,68366.96,349.37787
2024-05-27 05:30:00,68366.96,68560.0,68321.95,68548.76,257.26754
2024-05-27 05:45:00,68548.76,68614.0,68524.6,68524.61,108.97427
2024-05-27 06:00:00,68524.6,68621.54,68480.51,68591.78,155.80387
2024-05-27 06:15:00,68591.78,68604.0,68514.0,68554.0,116.39077
