time,open,high,low,close,volume
2022-08-11 15:00:00,24564.56,24584.58,24493.67,24510.57,1151.24495
2022-08-11 15:05:00,24510.57,24535.73,24400.01,24432.72,1471.48089
2022-08-11 15:10:00,24432.72,24474.88,24405.54,24406.49,1298.13377
2022-08-11 15:15:00,24408.03,24474.45,24361.76,24387.7,1563.65533
2022-08-11 15:20:00,24389.42,24485.0,24384.11,24470.75,1127.93215
2022-08-11 15:25:00,24471.7,24495.0,24437.64,24487.74,771.09961
2022-08-11 15:30:00,24485.96,24541.5,24471.8,24505.45,1016.9057
2022-08-11 15:35:00,24505.45,24525.99,24403.12,24438.89,933.36436
2022-08-11 15:40:00,24438.89,24443.84,24392.5,24398.64,679.77703
2022-08-11 15:45:00,24396.67,24399.32,24280.18,24361.19,1770.85779
2022-08-11 15:50:00,24359.68,24362.35,24282.87,24331.23,1553.32343
2022-08-11 15:55:00,24333.53,24367.08,24318.4,24343.68,806.98685
2022-08-11 16:00:00,24343.68,24397.6,24325.87,24353.93,834.31172
2022-08-11 16:05:00,24353.94,24366.66,24300.0,24345.35,1187.61421
2022-08-11 16:10:00,24347.05,24370.71,24285.48,24289.95,1044.09884
2022-08-11 16:15:00,24289.95,24329.86,24255.72,24314.45,1091.84156
2022-08-11 16:20:00,24316.35,24350.0,24295.31,24329.24,2103.31235
2022-08-11 16:25:00,24329.24,24372.5,24316.83,24371.31,736.58234
2022-08-11 16:30:00,24369.21,24416.5,24354.09,24378.55,941.7502
2022-08-11 16:35:00,24378.55,24389.47,24290.35,24292.03,747.18717
2022-08-11 16:40:00,24292.03,24333.19,24245.0,24315.31,910.5043
2022-08-11 16:45:00,24315.31,24336.88,24276.67,24323.91,652.1438
2022-08-11 16:50:00,24325.96,24344.25,24305.76,24326.71,502.73084
2022-08-11 16:55:00,24324.76,24348.68,24318.99,24339.41,620.28002
2022-08-11 17:00:00,24339.41,24362.66,24298.0,24317.98,804.76135
2022-08-11 17:05:00,24317.98,24355.99,24311.23,24321.53,623.58157
2022-08-11 17:10:00,24321.53,24371.0,24315.11,24358.78,528.45284
2022-08-11 17:15:00,24357.8,24403.45,24357.79,24388.43,756.90323
2022-08-11 17:20:00,24388.43,24397.65,24360.37,24365.99,551.04772
2022-08-11 17:25:00,24367.39,24370.68,24341.14,24355.02,645.13027
2022-08-11 17:30:00,24355.02,24377.05,24332.88,24335.54,648.8517
2022-08-11 17:35:00,24335.54,24402.79,24331.67,24384.84,618.87501
